Video Id,Video Title,Topic Count,Topics
-WaDvcu7mcw,Philippines Balut 🇵🇭 Foreigner tries Balut #filipino #philippines,2,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 13: quail egg, egg yolk, chicken egg, eggs quail, quail eggs, quail eggs quail, eggs quail eggs, duck egg, salted egg, fertilized duck egg (Topic 13: Balut and other Eggs)"
-Wgdk-C7Rb8,A Foreigner's Guide to Thriving in the Philippines 🇵🇭 #shorts #philippines,3,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 84: bop bop bop, bop bop, parangai parangai parangai, bop, parangai parangai, nourkir prol shabu, nourkir prol, botan botan botan, parangai, botan botan (Topic 84: Unclear Repeated Terms (Noise)), Topic 98: batou batou batou, batou batou, sang miguel, family gossiping, batou, morong morong, tiktok, morong extra morong, pajama party, morong (Topic 98: Activities and Discussions in Morong, Bataan )"
-WuFjxvGJnI,Trying Pancit Canton In The Philippines For The First Time🇵🇭 #shorts,1,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining)"
-XCc67Ijcz8,"BAGYO KA LANG PINOY KAMI, PINOYS aren't scared of ANYTHING especially not TYPHOONS | HONEST REACTION",2,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 65: hungry hungry hungry, hungry hungry, hungry, tasty, juicy, eating, delicious, lunch, dish, pop pop pop (Topic 65: Satisfying Hunger with Delicious Food)"
-Ya6eSQ3wng,"Foreigners Guess FILIPINA CELEBRITIES, FULL OR HALF FILIPINO? FUNNY REACTION",9,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 7: wear makeup, makeup, lipstick, makeup makeup, makeup skin, makeup artist, makeup coconut oil, makeup coconut, mascara, skin (Topic 7: Makeup Products and Application), Topic 24: manny, father actor, manny pacquiao, salt papi, papi, guapo guapo, actor, art royal god, guapo, manly (Topic 24: Manny Pacquaio (National Icon)), Topic 36: officer meijii yoshimi, meijii yoshimi, meijii yoshimi tenoguchi, yoshimi tenoguchi, officer meijii, yoshimi, commanding officer meijii, meijii, onoda soldier, akatsu (Topic 36: Officer Meijii Yoshimi and the Onoda Incident), Topic 47: singer, dance dance dance, star star star, sing, listen singing, maliga, dance dance, singing, star star, dancers (Topic 47: Singing and Dancing Stars), Topic 53: war cuba, called cuba rising, war spain, rising spain, caribbean pacific, explosion submarine cuba, pacific liberate, fighting spanish, cuba, spain (Topic 53: War & Conflict in Cuba & Spain), Topic 74: beauty pageants beauty, pageants beauty pageants, pageants beauty, beauty pageants, beauty pageant, pageant, phili phili, phili, universe pageant, pageants (Topic 74: Philippine Beauty Pageant & Miss Universe), Topic 89: fruits mango, mangosteen, fruit fresh, mangoes, mango, fruit, mango mango, fruit fruit, mango apple, fruits (Topic 89: Mango Fruit), Topic 117: ipakita akong imong, ipakita akong, akong imong telepono, imong telepono ipakita, telepono ipakita, ifogawa ifogawa ifogawa, imong telepono, oppa oppa, phone livein boyfriend, ifogawa ifogawa (Topic 117: Filipino Phrases)"
-_E2KyNAvqg,Just How!? Waleska & Efra react to Philippines' Longest Single Breath Sustained Notes While Singing,3,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 2: christmas merry christmas, celebrate christmas, christmas christmas christmas, christmas celebrate, celebrating christmas, merry christmas, merry christmas happy, christmas christmas, christmas merry, december christmas (Topic 2: Christmas Season & Celebration), Topic 7: wear makeup, makeup, lipstick, makeup makeup, makeup skin, makeup artist, makeup coconut oil, makeup coconut, mascara, skin (Topic 7: Makeup Products and Application)"
-cOD9GglwzU,"FILIPINO POLICE Take FOREIGNERS Travelling In Zamboanga, Mindanao!",5,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 5: haircut barber, haircuts, haircut, haircut haircut, cut haircut, barber, barbers, shave, shaved, shave shave (Topic 5: Barber Services), Topic 15: walk beach, beach, beach beach beach, beach beach, beaches, john john, walk water walk, walk water, water walk, water walk water (Topic 15: Walking by the Beach Experience), Topic 71: dog losin losin, losin losin losin, losin losin, dog losin, kasih, kami, friendly, mindenow, melvin, earlier kana (Topic 71: Dog Losing / Being Lost), Topic 92: shopping malls, shopping malls shopping, malls shopping, street markets, street market, shopping mall, mall shopping, colon street, malls, manila (Topic 92: Going to Shopping Malls and Street Markets in Manila)"
-fWzHd63UCA,Americans React to Philippines Eagle vs. Bald Eagle,1,"Topic 16: eagle impressive, eagle eagle, eagle eagle eagle, eagle bald eagle, eagle bird, eagle impressive arched, bald eagle, eagle, bald eagles, eagle bald (Topic 16: Philippine Monkey Eating Eagle)"
-iQod4ZhOB8,JAPANESE REACTION/The Kwaks Production - Anime medley part1,4,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 3: kids, poor, learn, deserve, society, told, culture, happened, cultures, community (Topic 3: Experiences of Children in Community & Culture), Topic 16: eagle impressive, eagle eagle, eagle eagle eagle, eagle bald eagle, eagle bird, eagle impressive arched, bald eagle, eagle, bald eagles, eagle bald (Topic 16: Philippine Monkey Eating Eagle), Topic 86: filipina, christian filipina, davao loving, happy, davao loving caring, loving loving, funny, culture humble, jokes funny hilarious, loving (Topic 86: Characteristics of Filipinas from Davao)"
-laaTEnlB4U,"EXTRAORDINARY FILIPINO LIFE of The ""Lostboys"" // Foreigners in Remote Palawan",4,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 1: speak language, language speak, learn language, language english, language language language, learn english, speak spanish, language language, learning language, english accent (Topic 1: Learning and Speaking Foreign Language), Topic 2: christmas merry christmas, celebrate christmas, christmas christmas christmas, christmas celebrate, celebrating christmas, merry christmas, merry christmas happy, christmas christmas, christmas merry, december christmas (Topic 2: Christmas Season & Celebration), Topic 110: experience culture shock, biggest culture shock, culture shock, culture shock culture, encounter culture shock, biggest culture, culture shocks, shock culture shock, staying culture shock, culture shock moved (Topic 110: Experiencing Culture Shock)"
-nW5dsB-z4E,Living in Province Vs City in the Philippines which is better?...Foreigner’s Opinion,4,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 3: kids, poor, learn, deserve, society, told, culture, happened, cultures, community (Topic 3: Experiences of Children in Community & Culture), Topic 91: manila surrounding cities, manila population, capital manila surrounding, manila largest, nations capital manila, manila capital, cities manila, manila surrounding, capital manila, manila population daytime (Topic 91: Metro Manila as the National Capital Region), Topic 115: bike shop, bike rent, rent bike, bikes, bike, bike bike, bike rental pesos, cheap knee tricycle, tricycle, rental shop (Topic 115: Bicycle & Tricycle Rental)"
-qbHvJ626lI,FOREIGNERS react to PHILIPPINES Proudly WELCOMES You!,4,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 19: halohalo, ube ice cream, ice candy, yum, flavors, ice cream ice, ice cream, halo halo halo, gravy, cream ice cream (Topic 19: Philippine Halo-Halo Dessert), Topic 47: singer, dance dance dance, star star star, sing, listen singing, maliga, dance dance, singing, star star, dancers (Topic 47: Singing and Dancing Stars), Topic 109: mango, mango mangoes, mangoes, song, paubaya moira, coconut, bagong, dried mangoes, singing, jokoy (Topic 109: Mango Fruit)"
-tg0rduTy7c,This is the SADDEST MOMENT FOR US LIVING in the PHILIPPINES 🇵🇭 | Foreigner and Filipina Family VLOG,6,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 19: halohalo, ube ice cream, ice candy, yum, flavors, ice cream ice, ice cream, halo halo halo, gravy, cream ice cream (Topic 19: Philippine Halo-Halo Dessert), Topic 40: worlds largest solar, largest solar, renewable, solar power, manila, sustainable, horizon manila, worlds largest, southeast asian, solar (Topic 40: Largest Solar Power Projects in Manila / Southeast Asia), Topic 56: school pula, school class, walampa sok school, school school, school solution, sok school, classroom, school, teachers, school play (Topic 56: Suspension of Classes in Schools), Topic 105: dig, procure, brother jay, jay jay jay, cut grass, picking garbage, cut grass cut, jay, ej, driveway (Topic 105: Unclear Repeated Terms), Topic 119: salido, bean mung bean, mung, vice bucket, mung bean, tarshares tarshares, pork bun, sin, isaw isaw, barbecue (Topic 119: Common Filipino Dishes)"
-uj2svY5754,The Cost of Living in the Philippines | Foreigner and Filipina Monthly Budget and Expenses,6,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 59: rainy season, rainy, windy, rained, natural windmill natural, natural windmill, raining, local, windmill natural, morning (Topic 59: Rainy Season), Topic 75: wifi island, wifi, speed wifi, tourist spot, spot tourist, tourist spot tourist, tourist, bookingcom, live local, local (Topic 75: Internet Connectivity in Tourist Destinations), Topic 84: bop bop bop, bop bop, parangai parangai parangai, bop, parangai parangai, nourkir prol shabu, nourkir prol, botan botan botan, parangai, botan botan (Topic 84: Unclear Repeated Terms (Noise)), Topic 85: university campus, campus, universities, campus university, university, schools, compares universities, university university, architectural buildings loving, buildings (Topic 85: University and Campuses), Topic 118: pondi, happy baby, ready, happy, morning, wet, wet started, mommy, maizko niello, coming (Topic 118: Mommy and Baby's Morning Events )"
-y_PrLcIeOg,Kind Filipina help me to find Champorado🇵🇭,3,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 38: nino cathedral, basilica, cathedrals, cathedral, church, basilic, churches, catholics, catholic, santo nino (Topic 38: Basilicas and Cathedrals in the Philippines), Topic 60: hang louis hang, louis hang louis, hang louis, louis hang, prom, bomb happy, karin sai, hang roger hang, hang, fucking (Topic 60: Louis Huang (Internation Actor))"
0-_hHvFLbFQ,FOREIGNERS react to FILIPINO Humor - Tongue Prank by Alex Gonzaga,3,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 109: mango, mango mangoes, mangoes, song, paubaya moira, coconut, bagong, dried mangoes, singing, jokoy (Topic 109: Mango Fruit), Topic 117: ipakita akong imong, ipakita akong, akong imong telepono, imong telepono ipakita, telepono ipakita, ifogawa ifogawa ifogawa, imong telepono, oppa oppa, phone livein boyfriend, ifogawa ifogawa (Topic 117: Filipino Phrases)"
0-dAyU-yUWk,The Philippines dating culture for foreigners 🇵🇭 (street interviews),5,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 8: dated, dating, students, girls, single dated, girl, friends, filipina, student, girlfriend (Topic 8: Philippines’ Dating & Relationship of Females), Topic 30: considered rich, immigration, rich money rich, rich rich rich, rich rich, money rich, tourists, pay tourists, rich, rich money (Topic 30: Wealthy & Rich Tourists Travelling), Topic 50: lgbtqia community, lgbt community, lgbtq community, gays lesbians, gays, queer friends, lgbtqia, lgbtq, lgbt, queer (Topic 50: LGBTQIA Community), Topic 104: sing song song, song sing song, song song sing, sing song, sing sing song, song song, sing song sing, song sing, singing singing singing, singing songs (Topic 104: Singing of Songs)"
008Fi25LbKY,Invited For Drinks With Local Filipinos 🇵🇭,4,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 12: drinkers, drinker, drinking etiquette, drinking, drinker excessively, drank, drinking session varies, drinking session, drink, liquor (Topic 12: Drinking Culture & Practices), Topic 96: rat, female rat, cat, cats, rat roof, buntonghininga, buntag, tapo, hatch, buco pondon (Topic 96: Cats & Rats), Topic 106: bohol chocolate hills, chocolate hills atv, chocolate hills, chocolate chocolate hills, hills bohol, located island bohol, hills atv, hills, trip, streets (Topic 106: Chocolate Hills in Bohol)"
00qBuhJeG-o,Filipina British Life in UK: PINAGBAWALAN HINDI DAW PWEDE!😅,2,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 2: christmas merry christmas, celebrate christmas, christmas christmas christmas, christmas celebrate, celebrating christmas, merry christmas, merry christmas happy, christmas christmas, christmas merry, december christmas (Topic 2: Christmas Season & Celebration)"
01CgNpWKero,"Americans React to Philippines, India, Singapore, English Vocabulary Differences!",7,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 15: walk beach, beach, beach beach beach, beach beach, beaches, john john, walk water walk, walk water, water walk, water walk water (Topic 15: Walking by the Beach Experience), Topic 22: prejudices prejudice women, discussion roots prejudice, prejudice women, prejudice women women, prejudice talking, talking prejudice, prejudices prejudice, strong prejudice, prejudice hybrids told, prejudice mentioned prejudice (Topic 22: Discussing Prejudice Against Women), Topic 60: hang louis hang, louis hang louis, hang louis, louis hang, prom, bomb happy, karin sai, hang roger hang, hang, fucking (Topic 60: Louis Huang (Internation Actor)), Topic 62: morning cinema, cinema continue, morning cinema continue, cinema, cinema continue ensure, theater, movie theater, ben, watching, skip ads (Topic 62: Filipino Food), Topic 94: friends attractive attractive, friends attractive, romantic, attractive attractive, romantic girl, attractive, crush friends, girls, lovely girls, attracted (Topic 94: Friendly and Romantic Relationships ), Topic 114: circle circle circle, hobbit house, circle hall, hall circle, circle circle, circle, circles, hobbit, restaurants, themed bar (Topic 114: Specific Venues: Circle Hall, Hobbit House, and Themed Spots )"
026urE67c8c,Filipino Hospitality Welcomes Me In Manila 🇵🇭,4,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 1: speak language, language speak, learn language, language english, language language language, learn english, speak spanish, language language, learning language, english accent (Topic 1: Learning and Speaking Foreign Language), Topic 15: walk beach, beach, beach beach beach, beach beach, beaches, john john, walk water walk, walk water, water walk, water walk water (Topic 15: Walking by the Beach Experience), Topic 54: manila cathedral church, manila cathedral, churches, catholic church, church, church church, stone church, church built, cultural heritage, cathedral church (Topic 54: Manila Cathedral)"
06Qq4to_l10,How do Filipinos celebrate Christmas in the Philippines? (street interviews),2,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 2: christmas merry christmas, celebrate christmas, christmas christmas christmas, christmas celebrate, celebrating christmas, merry christmas, merry christmas happy, christmas christmas, christmas merry, december christmas (Topic 2: Christmas Season & Celebration)"
06YeEjVLC0E,Foreigners Trying to Pronounce Filipino Words (Tagalog) | Manila - Vlog #85,5,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 1: speak language, language speak, learn language, language english, language language language, learn english, speak spanish, language language, learning language, english accent (Topic 1: Learning and Speaking Foreign Language), Topic 53: war cuba, called cuba rising, war spain, rising spain, caribbean pacific, explosion submarine cuba, pacific liberate, fighting spanish, cuba, spain (Topic 53: War & Conflict in Cuba & Spain), Topic 85: university campus, campus, universities, campus university, university, schools, compares universities, university university, architectural buildings loving, buildings (Topic 85: University and Campuses), Topic 111: variations urban legend, urban legend, urban legend pattern, legend pattern doctor, pamore, elevator patient doors, pesos, palainque, elevator patient, president (Topic 111: Urban Legends and its Variations)"
06hhcGs3J88,Elha Nympha Slayed!!🥵 Waleska & Efra react to Philippines NEW GEN DIVAS - 90s Medley,3,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 50: lgbtqia community, lgbt community, lgbtq community, gays lesbians, gays, queer friends, lgbtqia, lgbtq, lgbt, queer (Topic 50: LGBTQIA Community), Topic 98: batou batou batou, batou batou, sang miguel, family gossiping, batou, morong morong, tiktok, morong extra morong, pajama party, morong (Topic 98: Activities and Discussions in Morong, Bataan )"
07dy2r8Cl6w,A FOREIGNER CELEBRATING EASTER IN A REMOTE JUNGLE IN THE PHILIPPINES,2,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 81: producer coconuts, coconuts producer coconuts, coconuts producer, coconut fresh, produce coconuts, coconuts, produce coconuts producer, coconut water coconut, king coconuts, coconut (Topic 81: Coconut Varieties and Production)"
0Ci6zVWeFWw,FOREIGNERS' First Opinions About PHILIPPINES - I wasn't expecting THIS...,6,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 26: local coffee, coffee shops, cafe, coffee shop, coffee, coffees, coffee coffee, quick coffee, coffee coffee coffee, strong coffee (Topic 26: Local Coffee and Coffee Shops), Topic 27: watching leave loved, listen listen listen, listen listen, listen, loved peace, watching, leave loved peace, watching leave, lou, lou marie lou (Topic 27: Listening & Watching Loved Ones Depart ), Topic 40: worlds largest solar, largest solar, renewable, solar power, manila, sustainable, horizon manila, worlds largest, southeast asian, solar (Topic 40: Largest Solar Power Projects in Manila / Southeast Asia), Topic 43: visiting retiring beach, tips visiting retiring, retiring beach jet, retiring beach, visiting retiring, landings tips visiting, traveling, easier wasting online, thriving tips visiting, upcoming tips visiting (Topic 43: Trip to a Beach Destination), Topic 90: started traveling, trips, trip, talking tourists, travels, traveling, rumors scared, rumors scared honest, flights, arrival (Topic 90: Experiences of a First Time Traveler)"
0Cj35oMbb9Q,This Is How Filipinos Welcome You At The Beach 🇵🇭,4,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 1: speak language, language speak, learn language, language english, language language language, learn english, speak spanish, language language, learning language, english accent (Topic 1: Learning and Speaking Foreign Language), Topic 10: swim whale sharks, whale sharks, swimming whale sharks, whale shark, swim whale, whales, swimming whale, whale, shark, sharks sharks (Topic 10: Swimming with Whale Sharks ), Topic 70: tamaraw dwarf buffalo, dwarf buffalo stocky, dwarf buffalo, horns buffalo, horns buffalo weigh, buffalo weigh stout, buffalo, buffalo weigh, buffalo stocky, buffalo stocky gray (Topic 70: Physical Characteristics of the Tamaraw Dwarf Buffalo)"
0E4c8VDmUTk,"$30 FILIPINO STREET FOOD TOUR in BINONDO (Chinatown) MANILA, Philippines 🇵🇭 | | MUKBANG Philippines",2,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 34: squid squid, squid squid squid, squid, stew, soup, shrimp, dip sauce, sauce, fried, soy sauce (Topic 34: Squid)"
