Video Id,Video Title,Channel Id,Channel Title,Link,BERTopic Topics
-iQod4ZhOB8,JAPANESE REACTION/The Kwaks Production - Anime medley part1,UCdkq517IaeUcnG5CIiFX9RA,Shin Smith,https://www.youtube.com/watch?v=-iQod4ZhOB8,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (70.00%)

Topic 3: kids, poor, learn, deserve, (Experiences of Children in Community & Culture) (10.00%)

Topic 16: eagle impressive, eagle eagle, (Philippine Monkey Eating Eagle) (10.00%)

Topic 86: filipina, christian filipina, davao (Characteristics of Filipinas from Davao) (10.00%)"
-laaTEnlB4U,"EXTRAORDINARY FILIPINO LIFE of The ""Lostboys"" // Foreigners in Remote Palawan",UCzfEqx1_-zs2xUUzI3jVRSg,FinnSnow,https://www.youtube.com/watch?v=-laaTEnlB4U,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (40.00%)

Topic 1: speak language, language speak, (Learning and Speaking Foreign Language) (20.00%)

Topic 2: christmas merry christmas, celebrate (Christmas Season & Celebration) (20.00%)

Topic 110: experience culture shock, biggest (Experiencing Culture Shock) (20.00%)"
-nW5dsB-z4E,Living in Province Vs City in the Philippines which is better?...Foreigner’s Opinion,UCRe3yRMUuJkNeWLtO9kBGqg,Nurse Ruth Nook,https://www.youtube.com/watch?v=-nW5dsB-z4E,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (62.50%)

Topic 3: kids, poor, learn, deserve, (Experiences of Children in Community & Culture) (12.50%)

Topic 91: manila surrounding cities, manila (Metro Manila as the National Capital Region) (12.50%)

Topic 115: bike shop, bike rent, (Bicycle & Tricycle Rental) (12.50%)"
-qbHvJ626lI,FOREIGNERS react to PHILIPPINES Proudly WELCOMES You!,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,https://www.youtube.com/watch?v=-qbHvJ626lI,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (62.50%)

Topic 19: halohalo, ube ice cream, (Philippine Halo-Halo Dessert) (12.50%)

Topic 47: singer, dance dance dance, (Singing and Dancing Stars) (12.50%)

Topic 109: mango, mango mangoes, mangoes, (Mango Fruit) (12.50%)"
-tg0rduTy7c,This is the SADDEST MOMENT FOR US LIVING in the PHILIPPINES 🇵🇭 | Foreigner and Filipina Family VLOG,UCobYD8WgP3GPOqgvXF2Yy1w,Adam and Jane's Lifestyle,https://www.youtube.com/watch?v=-tg0rduTy7c,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (61.54%)

Topic 19: halohalo, ube ice cream, (Philippine Halo-Halo Dessert) (7.69%)

Topic 40: worlds largest solar, largest (Largest Solar Power Projects in Manila / Southeast Asia) (7.69%)

Topic 56: school pula, school class, (Suspension of Classes in Schools) (7.69%)

Topic 105: dig, procure, brother jay, (Unclear Repeated Terms) (7.69%)

Topic 119: salido, bean mung bean, (Common Filipino Dishes) (7.69%)"
-uj2svY5754,The Cost of Living in the Philippines | Foreigner and Filipina Monthly Budget and Expenses,UCobYD8WgP3GPOqgvXF2Yy1w,Adam and Jane's Lifestyle,https://www.youtube.com/watch?v=-uj2svY5754,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (62.50%)

Topic 59: rainy season, rainy, windy, (Rainy Season) (6.25%)

Topic 75: wifi island, wifi, speed (Internet Connectivity in Tourist Destinations) (6.25%)

Topic 84: bop bop bop, bop (Unclear Repeated Terms (Noise)) (6.25%)

Topic 85: university campus, campus, universities, (University and Campuses) (12.50%)

Topic 118: pondi, happy baby, ready, (Mommy and Baby's Morning Events ) (6.25%)"
-y_PrLcIeOg,Kind Filipina help me to find Champorado🇵🇭,UCoqGJPtvsPpALlhtqB1lcHA,Desi Chris,https://www.youtube.com/watch?v=-y_PrLcIeOg,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (33.33%)

Topic 38: nino cathedral, basilica, cathedrals, (Basilicas and Cathedrals in the Philippines) (33.33%)

Topic 60: hang louis hang, louis (Louis Huang (Internation Actor)) (33.33%)"
0-_hHvFLbFQ,FOREIGNERS react to FILIPINO Humor - Tongue Prank by Alex Gonzaga,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,https://www.youtube.com/watch?v=0-_hHvFLbFQ,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (60.00%)

Topic 109: mango, mango mangoes, mangoes, (Mango Fruit) (20.00%)

Topic 117: ipakita akong imong, ipakita (Filipino Phrases) (20.00%)"
0-dAyU-yUWk,The Philippines dating culture for foreigners 🇵🇭 (street interviews),UCoWQLZoPwn3mJ-oiPrwDpbA,Living abroad,https://www.youtube.com/watch?v=0-dAyU-yUWk,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (50.00%)

Topic 8: dated, dating, students, girls, (Philippines’ Dating & Relationship of Females) (12.50%)

Topic 30: considered rich, immigration, rich (Wealthy & Rich Tourists Travelling) (12.50%)

Topic 50: lgbtqia community, lgbt community, (LGBTQIA Community) (12.50%)

Topic 104: sing song song, song (Singing of Songs) (12.50%)"
008Fi25LbKY,Invited For Drinks With Local Filipinos 🇵🇭,UCLvnKTwSZEnCbTHNnqiivRQ,Dodo Explorers,https://www.youtube.com/watch?v=008Fi25LbKY,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (75.00%)

Topic 12: drinkers, drinker, drinking etiquette, (Drinking Culture & Practices) (8.33%)

Topic 96: rat, female rat, cat, (Cats & Rats) (8.33%)

Topic 106: bohol chocolate hills, chocolate (Chocolate Hills in Bohol) (8.33%)"
00qBuhJeG-o,Filipina British Life in UK: PINAGBAWALAN HINDI DAW PWEDE!😅,UC3PVtkwtqwCD4LEPguBEADA,Mia Sandoval,https://www.youtube.com/watch?v=00qBuhJeG-o,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (12.50%)

Topic 2: christmas merry christmas, celebrate (Christmas Season & Celebration) (87.50%)"
01CgNpWKero,"Americans React to Philippines, India, Singapore, English Vocabulary Differences!",UCAUgY9e_n2DhyZTgvPRoJnQ,TriFate Geo,https://www.youtube.com/watch?v=01CgNpWKero,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (22.22%)

Topic 15: walk beach, beach, beach (Walking by the Beach Experience) (22.22%)

Topic 22: prejudices prejudice women, discussion (Discussing Prejudice Against Women) (11.11%)

Topic 60: hang louis hang, louis (Louis Huang (Internation Actor)) (11.11%)

Topic 62: morning cinema, cinema continue, (Cinema & Watching Movies) (11.11%)

Topic 94: friends attractive attractive, friends (Friendly and Romantic Relationships ) (11.11%)

Topic 114: circle circle circle, hobbit (Specific Venues: Circle Hall, Hobbit House, and Themed Spots ) (11.11%)"
026urE67c8c,Filipino Hospitality Welcomes Me In Manila 🇵🇭,UCHza0GAxOvBOeLKkMeL8EcQ,Ken Abroad,https://www.youtube.com/watch?v=026urE67c8c,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (60.00%)

Topic 1: speak language, language speak, (Learning and Speaking Foreign Language) (10.00%)

Topic 15: walk beach, beach, beach (Walking by the Beach Experience) (20.00%)

Topic 54: manila cathedral church, manila (Manila Cathedral) (10.00%)"
06Qq4to_l10,How do Filipinos celebrate Christmas in the Philippines? (street interviews),UCoWQLZoPwn3mJ-oiPrwDpbA,Living abroad,https://www.youtube.com/watch?v=06Qq4to_l10,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (12.50%)

Topic 2: christmas merry christmas, celebrate (Christmas Season & Celebration) (87.50%)"
06YeEjVLC0E,Foreigners Trying to Pronounce Filipino Words (Tagalog) | Manila - Vlog #85,UCtNK-R1uX4hKBYU-GM54gHQ,JJ's Journey,https://www.youtube.com/watch?v=06YeEjVLC0E,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (20.00%)

Topic 1: speak language, language speak, (Learning and Speaking Foreign Language) (50.00%)

Topic 53: war cuba, called cuba (War & Conflict in Cuba & Spain) (10.00%)

Topic 85: university campus, campus, universities, (University and Campuses) (10.00%)

Topic 111: variations urban legend, urban (Urban Legends and its Variations) (10.00%)"
06hhcGs3J88,Elha Nympha Slayed!!🥵 Waleska & Efra react to Philippines NEW GEN DIVAS - 90s Medley,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,https://www.youtube.com/watch?v=06hhcGs3J88,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (75.00%)

Topic 50: lgbtqia community, lgbt community, (LGBTQIA Community) (12.50%)

Topic 98: batou batou batou, batou (Activities and Discussions in Morong, Bataan ) (12.50%)"
07dy2r8Cl6w,A FOREIGNER CELEBRATING EASTER IN A REMOTE JUNGLE IN THE PHILIPPINES,UCQzpQN0PTfIx1ARe7lL1jXQ,PhillyinthePhilippines,https://www.youtube.com/watch?v=07dy2r8Cl6w,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (85.71%)

Topic 81: producer coconuts, coconuts producer (Coconut Varieties and Production) (14.29%)"
0Ci6zVWeFWw,FOREIGNERS' First Opinions About PHILIPPINES - I wasn't expecting THIS...,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,https://www.youtube.com/watch?v=0Ci6zVWeFWw,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (50.00%)

Topic 26: local coffee, coffee shops, (Local Coffee and Coffee Shops) (10.00%)

Topic 27: watching leave loved, listen (Listening & Watching Loved Ones Depart ) (10.00%)

Topic 40: worlds largest solar, largest (Largest Solar Power Projects in Manila / Southeast Asia) (10.00%)

Topic 43: visiting retiring beach, tips (Trip to a Beach Destination) (10.00%)

Topic 90: started traveling, trips, trip, (Experiences of a First Time Traveler) (10.00%)"
0Cj35oMbb9Q,This Is How Filipinos Welcome You At The Beach 🇵🇭,UCHza0GAxOvBOeLKkMeL8EcQ,Ken Abroad,https://www.youtube.com/watch?v=0Cj35oMbb9Q,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (70.00%)

Topic 1: speak language, language speak, (Learning and Speaking Foreign Language) (10.00%)

Topic 10: swim whale sharks, whale (Swimming with Whale Sharks ) (10.00%)

Topic 70: tamaraw dwarf buffalo, dwarf (Physical Characteristics of the Tamaraw Dwarf Buffalo) (10.00%)"
0E4c8VDmUTk,"$30 FILIPINO STREET FOOD TOUR in BINONDO (Chinatown) MANILA, Philippines 🇵🇭 | | MUKBANG Philippines",UCeJ5AjddCuEnZxtUggbzeDA,Bags Packed Family,https://www.youtube.com/watch?v=0E4c8VDmUTk,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (87.50%)

Topic 34: squid squid, squid squid (Squid) (12.50%)"
0ENcrVkHwBY,"Foreigners Very First Philippines Wet Market, Not What We Expected! 🇵🇭",UCQQyW9Ki62OmGzHedws7xlQ,That Philippines Life,https://www.youtube.com/watch?v=0ENcrVkHwBY,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (66.67%)

Topic 5: haircut barber, haircuts, haircut, (Barber Services) (11.11%)

Topic 17: filipinawives, filipina couples, filipina, (Filipino Partner & Tourist Visas) (11.11%)

Topic 115: bike shop, bike rent, (Bicycle & Tricycle Rental) (11.11%)"
0G5jfRhHsqg,Why Foreigners Treat Filipinos Like Zoo Animals! DISGUSTING! 🇵🇭,UCRbxApsHPfN2huG4Z6D0MeA,Dave Roams,https://www.youtube.com/watch?v=0G5jfRhHsqg,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (12.50%)

Topic 52: youtubers poverty porn, create (Poverty Porn Content in YouTube) (87.50%)"
0GVD-9hxk_s,First FILIPINO BREAKFAST | Shopping Philippines 👨‍👩‍👧‍👦 RodVivKids Family Vlog,UCdBpCFv_RTOOBrImOlPT97g,RodVivKids Family Vlog Philippines 🇵🇭,https://www.youtube.com/watch?v=0GVD-9hxk_s,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (28.57%)

Topic 2: christmas merry christmas, celebrate (Christmas Season & Celebration) (42.86%)

Topic 11: negros negros, black accepting ( Black Experiences and Acceptance) (14.29%)

Topic 118: pondi, happy baby, ready, (Mommy and Baby's Morning Events ) (14.29%)"
0IJm5TFpldU,Filipino Parents In Law Try Special Korean Samgyupsal In The Philippines!,UC_hN8xs99S6jnMdYCuJgoJA,Pinoy Planet,https://www.youtube.com/watch?v=0IJm5TFpldU,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (50.00%)

Topic 26: local coffee, coffee shops, (Local Coffee and Coffee Shops) (25.00%)

Topic 43: visiting retiring beach, tips (Trip to a Beach Destination) (25.00%)"
0IUVhutkQaI,FOREIGN KIDS are trying FILIPINO SNACKS for the FIRST TIME - Foreigners Reaction,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,https://www.youtube.com/watch?v=0IUVhutkQaI,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (46.15%)

Topic 7: wear makeup, makeup, lipstick, (Makeup Products and Application) (7.69%)

Topic 19: halohalo, ube ice cream, (Philippine Halo-Halo Dessert) (15.38%)

Topic 100: bakaero bakaero bakaero, bakaero (Unclear Repeated Terms) (7.69%)

Topic 103: yums, cacao, wong, dangerous (Mixture of Subjects: Jungle, Food, and Pop Culture ) (15.38%)

Topic 109: mango, mango mangoes, mangoes, (Mango Fruit) (7.69%)"
0JiN_E6wK-E,FOREIGNERS FIRST ROAD TRIP in the PHILIPPINES to MINDORO ORIENTAL,UCATIycLIXMeetRVO-XS4p7g,Adventure Faktory,https://www.youtube.com/watch?v=0JiN_E6wK-E,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (57.14%)

Topic 2: christmas merry christmas, celebrate (Christmas Season & Celebration) (14.29%)

Topic 39: discrimination colored, segregation, discrimination, (Racial Discrimination) (14.29%)

Topic 75: wifi island, wifi, speed (Internet Connectivity in Tourist Destinations) (14.29%)"
0KOXxVJx0sk,HOW TO ACT AROUND FILIPINOS WHEN YOU'RE IN THE PHILIPPINES (FILIPINO CULTURE),UCPNBc7ZRwmgk1I6j_lenAfw,The Love Train Nation,https://www.youtube.com/watch?v=0KOXxVJx0sk,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (36.36%)

Topic 1: speak language, language speak, (Learning and Speaking Foreign Language) (9.09%)

Topic 7: wear makeup, makeup, lipstick, (Makeup Products and Application) (9.09%)

Topic 11: negros negros, black accepting ( Black Experiences and Acceptance) (9.09%)

Topic 23: winter summer cold, summer (Seasons and Weather ) (18.18%)

Topic 28: martial arts martial, martial (Mixed Martial Arts and Fighting ) (9.09%)

Topic 66: episode pinay moms, pinay (Pinay Moms Content and Viewer Engagement ) (9.09%)"
0KyvSgEO6Fc,Trying Filipino Liquor (TANDUAY & MORE) & Oslob WHALE SHARK Swimming - Philippines Travel Vlog,UC94bSvWltDS6I0U_u7mn8VQ,Two Broskis,https://www.youtube.com/watch?v=0KyvSgEO6Fc,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (25.00%)

Topic 10: swim whale sharks, whale (Swimming with Whale Sharks ) (50.00%)

Topic 33: san miguel corporation, san (San Miguel Corporation) (12.50%)

Topic 93: sabu, ride, transport, beach, (Island and Beach Travel Experiences) (12.50%)"
0Lod4Yyv3qc,Korean girl want to live in Philippine after trying the Famous MANG INASAL! 🇵🇭🇰🇷❤️,UCIgeYqubI5M8LoLCcZqwlpw,kelly,https://www.youtube.com/watch?v=0Lod4Yyv3qc,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (44.44%)

Topic 2: christmas merry christmas, celebrate (Christmas Season & Celebration) (11.11%)

Topic 19: halohalo, ube ice cream, (Philippine Halo-Halo Dessert) (11.11%)

Topic 65: hungry hungry hungry, hungry (Satisfying Hunger with Delicious Food) (11.11%)

Topic 66: episode pinay moms, pinay (Pinay Moms Content and Viewer Engagement ) (11.11%)

Topic 102: friends issues, relationships, friends, (Friendships) (11.11%)"
0Mnau-zACiE,🇺🇸 American fam's first time in 🇵🇭 the Philippines!,UCatYGXWCXRt_0XLLKv1hkUw,Always Be Changing,https://www.youtube.com/watch?v=0Mnau-zACiE,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (86.67%)

Topic 2: christmas merry christmas, celebrate (Christmas Season & Celebration) (6.67%)

Topic 73: binondo chinatown manila, chinatown (Chinatown Manila) (6.67%)"
