Video Id,Video Title,Link,BERTopic Topics
-O-ZnlGZq-4,What's It Like Living In The Philippines? 🇵🇭 | Foreigner's Perspective,https://www.youtube.com/watch?v=-O-ZnlGZq-4,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (62.50%)

Topic 13: Topic 13: Balut and (Topic 13: Balut and other Eggs) (25.00%)

Topic 89: Topic 89: Mango Fruit (Topic 89: Mango Fruit) (12.50%)
"
-P_7E7gq6vs,Foreigner cooks Filipino pork adobo for the first time,https://www.youtube.com/watch?v=-P_7E7gq6vs,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (60.00%)

Topic 20: Topic 20: Travel Immigration (Topic 20: Travel Immigration & Visa Processes) (10.00%)

Topic 34: Topic 34: Squid (Topic 34: Squid) (20.00%)

Topic 95: Topic 95: Filipino Moms (Topic 95: Filipino Moms doing a Vlog) (10.00%)
"
-Ts46vj5sEc,Real Life Fathers of 18 Top Filipino Actors ll You didn't know in 2023,https://www.youtube.com/watch?v=-Ts46vj5sEc,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (40.00%)

Topic 24: Topic 24: Manny Pacquaio (Topic 24: Manny Pacquaio (National Icon)) (60.00%)
"
-U5-r29G-t0,First time trying Filipino Street Food.,https://www.youtube.com/watch?v=-U5-r29G-t0,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (77.78%)

Topic 19: Topic 19: Philippine Halo-Halo (Topic 19: Philippine Halo-Halo Dessert) (11.11%)

Topic 32: Topic 32: Dogs (Topic 32: Dogs) (11.11%)
"
-WaDvcu7mcw,Philippines Balut 🇵🇭 Foreigner tries Balut #filipino #philippines,https://www.youtube.com/watch?v=-WaDvcu7mcw,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (50.00%)

Topic 13: Topic 13: Balut and (Topic 13: Balut and other Eggs) (50.00%)
"
-Wgdk-C7Rb8,A Foreigner's Guide to Thriving in the Philippines 🇵🇭 #shorts #philippines,https://www.youtube.com/watch?v=-Wgdk-C7Rb8,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (50.00%)

Topic 84: Topic 84: Unclear Repeated (Topic 84: Unclear Repeated Terms (Noise)) (33.33%)

Topic 98: Topic 98: Activities and (Topic 98: Activities and Discussions in Morong, Bataan ) (16.67%)
"
-WuFjxvGJnI,Trying Pancit Canton In The Philippines For The First Time🇵🇭 #shorts,https://www.youtube.com/watch?v=-WuFjxvGJnI,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (100.00%)
"
-XCc67Ijcz8,"BAGYO KA LANG PINOY KAMI, PINOYS aren't scared of ANYTHING especially not TYPHOONS | HONEST REACTION",https://www.youtube.com/watch?v=-XCc67Ijcz8,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (75.00%)

Topic 65: Topic 65: Satisfying Hunger (Topic 65: Satisfying Hunger with Delicious Food) (25.00%)
"
-Ya6eSQ3wng,"Foreigners Guess FILIPINA CELEBRITIES, FULL OR HALF FILIPINO? FUNNY REACTION",https://www.youtube.com/watch?v=-Ya6eSQ3wng,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (35.71%)

Topic 7: Topic 7: Makeup Products (Topic 7: Makeup Products and Application) (7.14%)

Topic 24: Topic 24: Manny Pacquaio (Topic 24: Manny Pacquaio (National Icon)) (14.29%)

Topic 36: Topic 36: Officer Meijii (Topic 36: Officer Meijii Yoshimi and the Onoda Incident) (7.14%)

Topic 47: Topic 47: Singing and (Topic 47: Singing and Dancing Stars) (7.14%)

Topic 53: Topic 53: War & (Topic 53: War & Conflict in Cuba & Spain) (7.14%)

Topic 74: Topic 74: Philippine Beauty (Topic 74: Philippine Beauty Pageant & Miss Universe) (7.14%)

Topic 89: Topic 89: Mango Fruit (Topic 89: Mango Fruit) (7.14%)

Topic 117: Topic 117: Filipino Phrases (Topic 117: Filipino Phrases) (7.14%)
"
-_E2KyNAvqg,Just How!? Waleska & Efra react to Philippines' Longest Single Breath Sustained Notes While Singing,https://www.youtube.com/watch?v=-_E2KyNAvqg,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (86.67%)

Topic 2: Topic 2: Christmas Season (Topic 2: Christmas Season & Celebration) (6.67%)

Topic 7: Topic 7: Makeup Products (Topic 7: Makeup Products and Application) (6.67%)
"
-cOD9GglwzU,"FILIPINO POLICE Take FOREIGNERS Travelling In Zamboanga, Mindanao!",https://www.youtube.com/watch?v=-cOD9GglwzU,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (60.00%)

Topic 5: Topic 5: Barber Services (Topic 5: Barber Services) (10.00%)

Topic 15: Topic 15: Walking by (Topic 15: Walking by the Beach Experience) (10.00%)

Topic 71: Topic 71: Dog Losing (Topic 71: Dog Losing / Being Lost) (10.00%)

Topic 92: Topic 92: Going to (Topic 92: Going to Shopping Malls and Street Markets in Manila) (10.00%)
"
-fWzHd63UCA,Americans React to Philippines Eagle vs. Bald Eagle,https://www.youtube.com/watch?v=-fWzHd63UCA,"Topic 16: Topic 16: Philippine Monkey (Topic 16: Philippine Monkey Eating Eagle) (100.00%)
"
-iQod4ZhOB8,JAPANESE REACTION/The Kwaks Production - Anime medley part1,https://www.youtube.com/watch?v=-iQod4ZhOB8,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (70.00%)

Topic 3: Topic 3: Experiences of (Topic 3: Experiences of Children in Community & Culture) (10.00%)

Topic 16: Topic 16: Philippine Monkey (Topic 16: Philippine Monkey Eating Eagle) (10.00%)

Topic 86: Topic 86: Characteristics of (Topic 86: Characteristics of Filipinas from Davao) (10.00%)
"
-laaTEnlB4U,"EXTRAORDINARY FILIPINO LIFE of The ""Lostboys"" // Foreigners in Remote Palawan",https://www.youtube.com/watch?v=-laaTEnlB4U,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (40.00%)

Topic 1: Topic 1: Learning and (Topic 1: Learning and Speaking Foreign Language) (20.00%)

Topic 2: Topic 2: Christmas Season (Topic 2: Christmas Season & Celebration) (20.00%)

Topic 110: Topic 110: Experiencing Culture (Topic 110: Experiencing Culture Shock) (20.00%)
"
-nW5dsB-z4E,Living in Province Vs City in the Philippines which is better?...Foreigner’s Opinion,https://www.youtube.com/watch?v=-nW5dsB-z4E,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (62.50%)

Topic 3: Topic 3: Experiences of (Topic 3: Experiences of Children in Community & Culture) (12.50%)

Topic 91: Topic 91: Metro Manila (Topic 91: Metro Manila as the National Capital Region) (12.50%)

Topic 115: Topic 115: Bicycle & (Topic 115: Bicycle & Tricycle Rental) (12.50%)
"
-qbHvJ626lI,FOREIGNERS react to PHILIPPINES Proudly WELCOMES You!,https://www.youtube.com/watch?v=-qbHvJ626lI,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (62.50%)

Topic 19: Topic 19: Philippine Halo-Halo (Topic 19: Philippine Halo-Halo Dessert) (12.50%)

Topic 47: Topic 47: Singing and (Topic 47: Singing and Dancing Stars) (12.50%)

Topic 109: Topic 109: Mango Fruit (Topic 109: Mango Fruit) (12.50%)
"
-tg0rduTy7c,This is the SADDEST MOMENT FOR US LIVING in the PHILIPPINES 🇵🇭 | Foreigner and Filipina Family VLOG,https://www.youtube.com/watch?v=-tg0rduTy7c,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (61.54%)

Topic 19: Topic 19: Philippine Halo-Halo (Topic 19: Philippine Halo-Halo Dessert) (7.69%)

Topic 40: Topic 40: Largest Solar (Topic 40: Largest Solar Power Projects in Manila / Southeast Asia) (7.69%)

Topic 56: Topic 56: Suspension of (Topic 56: Suspension of Classes in Schools) (7.69%)

Topic 105: Topic 105: Unclear Repeated (Topic 105: Unclear Repeated Terms) (7.69%)

Topic 119: Topic 119: Common Filipino (Topic 119: Common Filipino Dishes) (7.69%)
"
-uj2svY5754,The Cost of Living in the Philippines | Foreigner and Filipina Monthly Budget and Expenses,https://www.youtube.com/watch?v=-uj2svY5754,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (62.50%)

Topic 59: Topic 59: Rainy Season (Topic 59: Rainy Season) (6.25%)

Topic 75: Topic 75: Internet Connectivity (Topic 75: Internet Connectivity in Tourist Destinations) (6.25%)

Topic 84: Topic 84: Unclear Repeated (Topic 84: Unclear Repeated Terms (Noise)) (6.25%)

Topic 85: Topic 85: University and (Topic 85: University and Campuses) (12.50%)

Topic 118: Topic 118: Mommy and (Topic 118: Mommy and Baby's Morning Events ) (6.25%)
"
-y_PrLcIeOg,Kind Filipina help me to find Champorado🇵🇭,https://www.youtube.com/watch?v=-y_PrLcIeOg,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (33.33%)

Topic 38: Topic 38: Basilicas and (Topic 38: Basilicas and Cathedrals in the Philippines) (33.33%)

Topic 60: Topic 60: Louis Huang (Topic 60: Louis Huang (Internation Actor)) (33.33%)
"
0-_hHvFLbFQ,FOREIGNERS react to FILIPINO Humor - Tongue Prank by Alex Gonzaga,https://www.youtube.com/watch?v=0-_hHvFLbFQ,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (60.00%)

Topic 109: Topic 109: Mango Fruit (Topic 109: Mango Fruit) (20.00%)

Topic 117: Topic 117: Filipino Phrases (Topic 117: Filipino Phrases) (20.00%)
"
0-dAyU-yUWk,The Philippines dating culture for foreigners 🇵🇭 (street interviews),https://www.youtube.com/watch?v=0-dAyU-yUWk,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (50.00%)

Topic 8: Topic 8: Philippines’ Dating (Topic 8: Philippines’ Dating & Relationship of Females) (12.50%)

Topic 30: Topic 30: Wealthy & (Topic 30: Wealthy & Rich Tourists Travelling) (12.50%)

Topic 50: Topic 50: LGBTQIA Community (Topic 50: LGBTQIA Community) (12.50%)

Topic 104: Topic 104: Singing of (Topic 104: Singing of Songs) (12.50%)
"
008Fi25LbKY,Invited For Drinks With Local Filipinos 🇵🇭,https://www.youtube.com/watch?v=008Fi25LbKY,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (75.00%)

Topic 12: Topic 12: Drinking Culture (Topic 12: Drinking Culture & Practices) (8.33%)

Topic 96: Topic 96: Cats & (Topic 96: Cats & Rats) (8.33%)

Topic 106: Topic 106: Chocolate Hills (Topic 106: Chocolate Hills in Bohol) (8.33%)
"
00qBuhJeG-o,Filipina British Life in UK: PINAGBAWALAN HINDI DAW PWEDE!😅,https://www.youtube.com/watch?v=00qBuhJeG-o,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (12.50%)

Topic 2: Topic 2: Christmas Season (Topic 2: Christmas Season & Celebration) (87.50%)
"
01CgNpWKero,"Americans React to Philippines, India, Singapore, English Vocabulary Differences!",https://www.youtube.com/watch?v=01CgNpWKero,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (22.22%)

Topic 15: Topic 15: Walking by (Topic 15: Walking by the Beach Experience) (22.22%)

Topic 22: Topic 22: Discussing Prejudice (Topic 22: Discussing Prejudice Against Women) (11.11%)

Topic 60: Topic 60: Louis Huang (Topic 60: Louis Huang (Internation Actor)) (11.11%)

Topic 62: Topic 62: Filipino Food (Topic 62: Filipino Food) (11.11%)

Topic 94: Topic 94: Friendly and (Topic 94: Friendly and Romantic Relationships ) (11.11%)

Topic 114: Topic 114: Specific Venues: (Topic 114: Specific Venues: Circle Hall, Hobbit House, and Themed Spots ) (11.11%)
"
026urE67c8c,Filipino Hospitality Welcomes Me In Manila 🇵🇭,https://www.youtube.com/watch?v=026urE67c8c,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (60.00%)

Topic 1: Topic 1: Learning and (Topic 1: Learning and Speaking Foreign Language) (10.00%)

Topic 15: Topic 15: Walking by (Topic 15: Walking by the Beach Experience) (20.00%)

Topic 54: Topic 54: Manila Cathedral (Topic 54: Manila Cathedral) (10.00%)
"
06Qq4to_l10,How do Filipinos celebrate Christmas in the Philippines? (street interviews),https://www.youtube.com/watch?v=06Qq4to_l10,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (12.50%)

Topic 2: Topic 2: Christmas Season (Topic 2: Christmas Season & Celebration) (87.50%)
"
06YeEjVLC0E,Foreigners Trying to Pronounce Filipino Words (Tagalog) | Manila - Vlog #85,https://www.youtube.com/watch?v=06YeEjVLC0E,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (20.00%)

Topic 1: Topic 1: Learning and (Topic 1: Learning and Speaking Foreign Language) (50.00%)

Topic 53: Topic 53: War & (Topic 53: War & Conflict in Cuba & Spain) (10.00%)

Topic 85: Topic 85: University and (Topic 85: University and Campuses) (10.00%)

Topic 111: Topic 111: Urban Legends (Topic 111: Urban Legends and its Variations) (10.00%)
"
06hhcGs3J88,Elha Nympha Slayed!!🥵 Waleska & Efra react to Philippines NEW GEN DIVAS - 90s Medley,https://www.youtube.com/watch?v=06hhcGs3J88,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (75.00%)

Topic 50: Topic 50: LGBTQIA Community (Topic 50: LGBTQIA Community) (12.50%)

Topic 98: Topic 98: Activities and (Topic 98: Activities and Discussions in Morong, Bataan ) (12.50%)
"
07dy2r8Cl6w,A FOREIGNER CELEBRATING EASTER IN A REMOTE JUNGLE IN THE PHILIPPINES,https://www.youtube.com/watch?v=07dy2r8Cl6w,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (85.71%)

Topic 81: Topic 81: Coconut Varieties (Topic 81: Coconut Varieties and Production) (14.29%)
"
0Ci6zVWeFWw,FOREIGNERS' First Opinions About PHILIPPINES - I wasn't expecting THIS...,https://www.youtube.com/watch?v=0Ci6zVWeFWw,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (50.00%)

Topic 26: Topic 26: Local Coffee (Topic 26: Local Coffee and Coffee Shops) (10.00%)

Topic 27: Topic 27: Listening & (Topic 27: Listening & Watching Loved Ones Depart ) (10.00%)

Topic 40: Topic 40: Largest Solar (Topic 40: Largest Solar Power Projects in Manila / Southeast Asia) (10.00%)

Topic 43: Topic 43: Trip to (Topic 43: Trip to a Beach Destination) (10.00%)

Topic 90: Topic 90: Experiences of (Topic 90: Experiences of a First Time Traveler) (10.00%)
"
0Cj35oMbb9Q,This Is How Filipinos Welcome You At The Beach 🇵🇭,https://www.youtube.com/watch?v=0Cj35oMbb9Q,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (70.00%)

Topic 1: Topic 1: Learning and (Topic 1: Learning and Speaking Foreign Language) (10.00%)

Topic 10: Topic 10: Swimming with (Topic 10: Swimming with Whale Sharks ) (10.00%)

Topic 70: Topic 70: Physical Characteristics (Topic 70: Physical Characteristics of the Tamaraw Dwarf Buffalo) (10.00%)
"
0E4c8VDmUTk,"$30 FILIPINO STREET FOOD TOUR in BINONDO (Chinatown) MANILA, Philippines 🇵🇭 | | MUKBANG Philippines",https://www.youtube.com/watch?v=0E4c8VDmUTk,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (87.50%)

Topic 34: Topic 34: Squid (Topic 34: Squid) (12.50%)
"
0ENcrVkHwBY,"Foreigners Very First Philippines Wet Market, Not What We Expected! 🇵🇭",https://www.youtube.com/watch?v=0ENcrVkHwBY,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (66.67%)

Topic 5: Topic 5: Barber Services (Topic 5: Barber Services) (11.11%)

Topic 17: Topic 17: Filipino Partner (Topic 17: Filipino Partner & Tourist Visas) (11.11%)

Topic 115: Topic 115: Bicycle & (Topic 115: Bicycle & Tricycle Rental) (11.11%)
"
0G5jfRhHsqg,Why Foreigners Treat Filipinos Like Zoo Animals! DISGUSTING! 🇵🇭,https://www.youtube.com/watch?v=0G5jfRhHsqg,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (12.50%)

Topic 52: Topic 52: Poverty Porn (Topic 52: Poverty Porn Content in YouTube) (87.50%)
"
0GVD-9hxk_s,First FILIPINO BREAKFAST | Shopping Philippines 👨‍👩‍👧‍👦 RodVivKids Family Vlog,https://www.youtube.com/watch?v=0GVD-9hxk_s,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (28.57%)

Topic 2: Topic 2: Christmas Season (Topic 2: Christmas Season & Celebration) (42.86%)

Topic 11: Topic 11: Black Experiences (Topic 11:  Black Experiences and Acceptance) (14.29%)

Topic 118: Topic 118: Mommy and (Topic 118: Mommy and Baby's Morning Events ) (14.29%)
"
0IJm5TFpldU,Filipino Parents In Law Try Special Korean Samgyupsal In The Philippines!,https://www.youtube.com/watch?v=0IJm5TFpldU,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (50.00%)

Topic 26: Topic 26: Local Coffee (Topic 26: Local Coffee and Coffee Shops) (25.00%)

Topic 43: Topic 43: Trip to (Topic 43: Trip to a Beach Destination) (25.00%)
"
0IUVhutkQaI,FOREIGN KIDS are trying FILIPINO SNACKS for the FIRST TIME - Foreigners Reaction,https://www.youtube.com/watch?v=0IUVhutkQaI,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (46.15%)

Topic 7: Topic 7: Makeup Products (Topic 7: Makeup Products and Application) (7.69%)

Topic 19: Topic 19: Philippine Halo-Halo (Topic 19: Philippine Halo-Halo Dessert) (15.38%)

Topic 100: Topic 100: Unclear Repeated (Topic 100: Unclear Repeated Terms) (7.69%)

Topic 103: Topic 103: Mixture of (Topic 103: Mixture of Subjects: Jungle, Food, and Pop Culture ) (15.38%)

Topic 109: Topic 109: Mango Fruit (Topic 109: Mango Fruit) (7.69%)
"
0JiN_E6wK-E,FOREIGNERS FIRST ROAD TRIP in the PHILIPPINES to MINDORO ORIENTAL,https://www.youtube.com/watch?v=0JiN_E6wK-E,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (57.14%)

Topic 2: Topic 2: Christmas Season (Topic 2: Christmas Season & Celebration) (14.29%)

Topic 39: Topic 39: Racial Discrimination (Topic 39: Racial Discrimination) (14.29%)

Topic 75: Topic 75: Internet Connectivity (Topic 75: Internet Connectivity in Tourist Destinations) (14.29%)
"
0KOXxVJx0sk,HOW TO ACT AROUND FILIPINOS WHEN YOU'RE IN THE PHILIPPINES (FILIPINO CULTURE),https://www.youtube.com/watch?v=0KOXxVJx0sk,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (36.36%)

Topic 1: Topic 1: Learning and (Topic 1: Learning and Speaking Foreign Language) (9.09%)

Topic 7: Topic 7: Makeup Products (Topic 7: Makeup Products and Application) (9.09%)

Topic 11: Topic 11: Black Experiences (Topic 11:  Black Experiences and Acceptance) (9.09%)

Topic 23: Topic 23: Seasons and (Topic 23: Seasons and Weather ) (18.18%)

Topic 28: Topic 28: Mixed Martial (Topic 28: Mixed Martial Arts and Fighting ) (9.09%)

Topic 66: Topic 66: Pinay Moms (Topic 66: Pinay Moms Content and Viewer Engagement ) (9.09%)
"
0KyvSgEO6Fc,Trying Filipino Liquor (TANDUAY & MORE) & Oslob WHALE SHARK Swimming - Philippines Travel Vlog,https://www.youtube.com/watch?v=0KyvSgEO6Fc,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (25.00%)

Topic 10: Topic 10: Swimming with (Topic 10: Swimming with Whale Sharks ) (50.00%)

Topic 33: Topic 33: San Miguel (Topic 33: San Miguel Corporation) (12.50%)

Topic 93: Topic 93: Island and (Topic 93: Island and Beach Travel Experiences) (12.50%)
"
0Lod4Yyv3qc,Korean girl want to live in Philippine after trying the Famous MANG INASAL! 🇵🇭🇰🇷❤️,https://www.youtube.com/watch?v=0Lod4Yyv3qc,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (44.44%)

Topic 2: Topic 2: Christmas Season (Topic 2: Christmas Season & Celebration) (11.11%)

Topic 19: Topic 19: Philippine Halo-Halo (Topic 19: Philippine Halo-Halo Dessert) (11.11%)

Topic 65: Topic 65: Satisfying Hunger (Topic 65: Satisfying Hunger with Delicious Food) (11.11%)

Topic 66: Topic 66: Pinay Moms (Topic 66: Pinay Moms Content and Viewer Engagement ) (11.11%)

Topic 102: Topic 102: Friendships (Topic 102: Friendships) (11.11%)
"
0Mnau-zACiE,🇺🇸 American fam's first time in 🇵🇭 the Philippines!,https://www.youtube.com/watch?v=0Mnau-zACiE,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (86.67%)

Topic 2: Topic 2: Christmas Season (Topic 2: Christmas Season & Celebration) (6.67%)

Topic 73: Topic 73: Chinatown Manila (Topic 73: Chinatown Manila) (6.67%)
"
0O2i843tdU4,$20 Ridiculous Street Massage in Philippines 🇵🇭,https://www.youtube.com/watch?v=0O2i843tdU4,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (75.00%)

Topic 58: Topic 58: Drinks & (Topic 58: Drinks & Relaxation by the Pool) (8.33%)

Topic 97: Topic 97: HipHop and (Topic 97: HipHop and Dancing) (8.33%)

Topic 111: Topic 111: Urban Legends (Topic 111: Urban Legends and its Variations) (8.33%)
"
0PKfbccBsBQ,"🇵🇭Trying Filipino Street Food in Bohol , Philippines",https://www.youtube.com/watch?v=0PKfbccBsBQ,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (100.00%)
"
0PRBBJPpMrE,Foreigner and Filipina Living Life Philippines LeJhaz Family Fud Day 4Dec22. @LeRocphilippines5539,https://www.youtube.com/watch?v=0PRBBJPpMrE,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (66.67%)

Topic 10: Topic 10: Swimming with (Topic 10: Swimming with Whale Sharks ) (6.67%)

Topic 59: Topic 59: Rainy Season (Topic 59: Rainy Season) (6.67%)

Topic 105: Topic 105: Unclear Repeated (Topic 105: Unclear Repeated Terms) (20.00%)
"
